Condition;Complexity_index;Path_length_Min;Path_length_Max;Path_length_Mean;Path_length_Sum;Sholl_Ramification_index;Nb_primary_branches;Nb_terminal_branches;Nb_intersection;Ratio_len_intersection_total
Condition 3;195583.628;9.491168825;474.8544874;80.9534884;1295.255814;7.738482837;1;16;6;0.245278827
Condition 3;6880.434676;12.3882251;318.2546607;73.71894296;589.7515437;4.713244533;3;8;0;
Condition 3;8749.364066;9.588225099;212.109668;58.68475898;1173.69518;12.06314633;11;20;8;
Condition 3;10147.13917;39.06761902;792.2936793;213.6239826;1068.119913;2.537199161;2;5;2;0.154494783
Condition 3;9779.563212;8.428427125;322.7066376;56.85792565;454.8634052;4.938722044;2;8;6;0.180633147
Condition 3;8338.231982;8.856854249;216.7870417;55.29331553;718.8131019;10.83058024;5;13;3;0.514388489
Condition 3;24110.40227;9.091168825;225.1155554;52.98989511;794.8484266;5.995091147;3;15;0;
Condition 3;1789.622114;15.47939392;103.8607214;46.39761036;463.9761036;9.646205046;7;10;2;0.445555556
Condition 3;16120.35656;6.028427125;457.9850214;129.1695237;1550.034285;23;5;12;1;0.386740331
Condition 3;13126.15287;25.9882251;306.1576044;76.76112789;921.1335347;6.187928889;4;12;3;0.507789318
Condition 3;3364.514803;24.81665222;363.9898987;83.07443957;747.6699562;6.28710973;6;9;0;
Condition 3;4119.825517;39.73036072;278.1340546;72.27764064;867.3316877;8.24014105;8;12;2;0.15755419
Condition 3;8709.265482;10.35979797;188.8576911;43.49196246;782.8553242;8.432999489;8;18;1;
Condition 3;7105.476358;6.19411255;244.6948627;56.39266951;789.4973732;7.338032096;7;14;2;0.076082005
Condition 3;7609.923568;30.97056275;254.6233765;80.44316668;884.8748335;8.154597861;5;11;2;0.076099881
