Condition;Complexity_index;Path_length_Min;Path_length_Max;Path_length_Mean;Path_length_Sum;Sholl_Ramification_index;Nb_primary_branches;Nb_terminal_branches;Nb_intersection;Ratio_len_intersection_total
Condition 1;5969.174248;6.940587362;132.5971529;27.80671233;583.940959;11.53069811;9;21;3;0.459821429
Condition 1;8915.322696;9.631263207;299.0895249;48.62903288;486.2903288;4.228160877;3;10;1;0.262827612
Condition 1;9012.849241;7.56951818;265.8101453;37.86911446;643.7749458;7.156322461;7;17;3;0.156025539
Condition 1;14278.36821;7.98263406;400.5338422;47.99451498;959.8902995;8.765641375;8;20;5;0.173410405
Condition 1;3321.535773;4.316956623;137.1561072;26.36139502;369.0595303;7.054476705;7;14;2;0.142754146
Condition 1;13418.46511;11.78564952;204.1091937;34.4063208;516.094812;5.13598046;4;15;2;0.347107438
Condition 1;4419.708754;10.72769167;220.8983838;37.88321789;757.6643578;13.58349851;12;20;1;0.52970297
Condition 1;4089.047548;7.671724164;131.2025959;31.37376635;533.354028;9.49949477;9;17;3;0.211062591
Condition 1;4252.376994;8.272830347;145.9410794;32.17435305;418.2665896;8.076909209;6;13;4;0.08114374
Condition 1;610.8259459;26.95689656;93.0945597;43.63042471;305.412973;7.216796736;7;7;0;
Condition 1;4783.439781;9.190392326;285.7120699;49.82749772;398.6199818;6.605544192;3;8;1;
Condition 1;1204.91384;13.82863881;228.4801487;58.57220053;468.5776043;7.389403332;7;8;0;
Condition 1;9993.436279;11.30351843;319.3116126;46.76073125;794.9324313;7.640525393;7;17;2;0.474810214
Condition 1;1180.837071;14.90717722;161.6118708;36.54971887;511.6960641;13.5728037;13;14;3;
Condition 1;2258.916828;7.276091457;120.3761164;33.09768246;430.269872;10.28131362;8;13;5;
Condition 1;15033.82032;14.04064946;224.0179975;48.26266554;675.6773176;5.282582589;4;14;0;
Condition 1;14621.42948;8.621732345;351.4733794;44.15444624;838.9344786;7.313162629;7;19;3;0.194411178
Condition 1;1963.360493;20.80520747;62.62357325;36.7473889;404.221278;9.852670255;7;11;4;0.44092219
Condition 1;1617.507824;8.16554384;230.0653753;36.76154145;441.1384974;9.5136579;9;12;1;0.166456494
Condition 1;3351.809098;7.409705977;132.7770381;36.83306701;478.8298712;8.055510664;7;13;2;0.73347548
Condition 2;1999.14048;9.164193592;221.7156968;38.07886628;456.9463954;8.682907995;8;12;3;0.10164108
Condition 2;7086.898424;11.14963652;223.7234881;39.24706406;627.9530249;7.187961374;7;16;3;0.092243187
Condition 2;14935.20063;4.815631603;173.6657;22.02831952;594.764627;9.185053839;9;27;1;0.605555556
Condition 2;1733.007886;16.77840851;218.3197881;65.15067239;456.0547067;5.352018663;5;7;1;0.405956113
Condition 2;2347.23983;13.81796399;360.5443698;55.06721009;605.739311;8.088454726;8;11;1;0.816326531
Condition 2;1539.482268;15.89025928;229.3356982;52.05978684;468.5380816;7.182685234;7;9;0;0.159318937
Condition 2;826.1744349;11.66774347;135.7261329;40.16125725;321.290058;7.029629909;7;8;2;0.232863393
Condition 2;6019.228625;5.610103694;128.4087889;25.29087657;657.5627909;13.85960496;13;26;5;
Condition 2;12858.5234;5.587613873;130.7830066;24.5204489;465.8885292;11.17767247;5;19;5;0.427821522
Condition 2;1790.648168;6.089445182;185.8260857;33.50485138;435.5630679;10.17489997;9;13;1;
Condition 2;7585.201484;6.744846596;176.1168291;23.11680452;485.452895;9.959127432;8;21;3;0.09311981
Condition 2;1326.610233;12.7032115;321.1650967;64.48799744;515.9039796;7.563301385;7;8;2;
Condition 2;4808.796144;10.06856743;298.0479126;45.36600136;635.1240191;7.255549329;7;14;4;0.435386927
Condition 2;4300.671276;14.71821775;297.2999412;45.27022395;679.0533593;9.613640407;9;15;1;
Condition 2;2069.441196;7.442126295;226.8523895;42.48119757;467.2931732;8.693429238;7;11;3;0.118453255
Condition 2;9373.438685;5.985795515;229.3760072;35.10651193;526.5976789;5.397292055;5;15;2;0.27338827
Condition 2;4743.093166;7.543320496;193.8280282;28.9212998;520.5833963;10.65175379;9;18;2;
Condition 2;1479.922455;14.07306978;253.1927664;55.63618253;389.4532777;5.390354162;5;7;0;
Condition 2;3556.360593;8.087274267;197.6586292;35.72237203;571.5579525;11.98645371;9;16;3;0.113779302
Condition 2;4175.163444;7.898314801;175.803497;35.59389125;605.0961513;10.14850744;10;17;2;0.251879699
Condition 3;868.7810717;12.88382476;143.9380099;46.54184313;325.7929019;7.217504196;6;7;0;
Condition 3;994.611105;13.88117472;190.1535797;40.68863611;406.8863611;9.496525978;9;10;0;
Condition 3;4413.844944;11.31149772;136.8732472;34.14967074;375.6463782;6.721741152;4;11;1;0.486792453
Condition 3;14064.46505;7.77607612;241.0976338;39.58104611;514.5535994;3.891985894;3;13;3;
Condition 3;12234.86635;10.79047437;159.5517846;33.29215332;499.3822998;4.810369986;4;15;0;
Condition 3;3253.146086;9.692223636;151.4612238;38.72792959;464.7351551;7.592749221;6;12;3;
Condition 3;13483.0353;4.136415174;260.1784253;33.77997391;743.1594261;8.465103045;7;22;3;0.057233704
Condition 3;1867.76853;6.482686031;169.4712574;37.14312418;408.574366;7.677941261;7;11;2;0.398406375
Condition 3;6387.024662;4.45287097;178.7834144;30.8551916;709.6694069;15.48181145;11;23;5;0.116601888
Condition 3;47934.0874;11.56846859;349.5127778;47.15137459;1084.481615;6.787904602;5;23;2;0.117814053
