Condition;Complexity_index;Path_length_Min;Path_length_Max;Path_length_Mean;Path_length_Sum;Sholl_Ramification_index;Nb_primary_branches;Nb_terminal_branches;Nb_intersection;Ratio_len_intersection_total
Condition 3;2240.90748;19.83355227;330.1589425;50.30608629;704.2852081;13.36210209;11;14;4;0.152616735
Condition 3;852.6888145;6.474404339;110.1644388;45.67975792;319.7583054;6.705846625;6;7;0;
Condition 3;7864.766457;6.018215833;165.7696539;28.56452709;599.8550688;9.060572146;9;21;0;0.127644055
Condition 3;3338.679751;5.529607009;183.199774;31.1734804;529.9491668;10.8333159;10;17;2;0.1091355
Condition 3;1744.664697;13.66273053;201.1073781;39.65147038;475.8176446;9.239571634;9;12;0;
Condition 3;6242.536452;6.340789819;267.178071;35.82517333;609.0279466;8.052492729;8;17;1;0.057387057
Condition 3;2268.441719;12.40485491;491.0781869;80.19743449;721.7769104;8.27124613;7;9;2;0.336419753
Condition 3;877.790942;7.308511776;82.06577765;23.95955425;311.4742052;11.09778175;11;13;2;0.341099916
Condition 3;2655.028553;9.234459998;149.5928013;33.18785691;331.8785691;6.937358712;5;10;0;
Condition 3;4439.152543;8.732422238;266.1739954;43.52110337;522.2532404;7.084022098;6;12;2;0.154511743
